 Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON,Year
 1880 ,-30  ,-21  ,-18  ,-27  ,-14  ,-28  ,-23  ,-7   ,-16  ,-16  ,-19  ,-21  ,-20  ,***  ,**** ,-20  ,-20  ,-17  ,1880 
 1881 ,-9   ,-14  ,1    ,-3   ,-4   ,-28  ,-6   ,-2   ,-8   ,-19  ,-26  ,-15  ,-11  ,-11  ,-15  ,-2   ,-12  ,-18  ,1881 
 1882 ,10   ,9    ,2    ,-19  ,-17  ,-24  ,-10  ,4    ,0    ,-22  ,-20  ,-24  ,-9   ,-8   ,1    ,-11  ,-10  ,-14  ,1882 
 1883 ,-33  ,-41  ,-17  ,-23  ,-24  ,-11  ,-7   ,-12  ,-17  ,-11  ,-19  ,-17  ,-19  ,-20  ,-33  ,-22  ,-10  ,-16  ,1883 
 1884 ,-18  ,-11  ,-33  ,-35  ,-31  ,-37  ,-33  ,-25  ,-22  ,-21  ,-29  ,-28  ,-27  ,-26  ,-15  ,-33  ,-32  ,-24  ,1884 
 1885 ,-64  ,-28  ,-22  ,-43  ,-40  ,-49  ,-27  ,-26  ,-18  ,-18  ,-21  ,-4   ,-30  ,-32  ,-40  ,-35  ,-34  ,-19  ,1885 
 1886 ,-41  ,-44  ,-40  ,-28  ,-26  ,-38  ,-15  ,-30  ,-18  ,-24  ,-25  ,-24  ,-29  ,-28  ,-30  ,-32  ,-28  ,-22  ,1886 
 1887 ,-65  ,-48  ,-30  ,-36  ,-32  ,-19  ,-18  ,-26  ,-19  ,-31  ,-25  ,-37  ,-32  ,-31  ,-46  ,-33  ,-21  ,-25  ,1887 
 1888 ,-42  ,-42  ,-47  ,-28  ,-22  ,-20  ,-8   ,-11  ,-7   ,2    ,0    ,-12  ,-20  ,-22  ,-40  ,-32  ,-13  ,-2   ,1888 
 1889 ,-19  ,15   ,5    ,5    ,-2   ,-11  ,-4   ,-17  ,-18  ,-22  ,-30  ,-30  ,-11  ,-9   ,-5   ,3    ,-11  ,-23  ,1889 
 1890 ,-47  ,-47  ,-41  ,-37  ,-47  ,-27  ,-28  ,-35  ,-35  ,-22  ,-36  ,-29  ,-36  ,-36  ,-41  ,-42  ,-30  ,-31  ,1890 
 1891 ,-45  ,-48  ,-14  ,-25  ,-16  ,-21  ,-21  ,-20  ,-13  ,-23  ,-37  ,-1   ,-24  ,-26  ,-41  ,-19  ,-21  ,-24  ,1891 
 1892 ,-25  ,-14  ,-36  ,-34  ,-24  ,-19  ,-27  ,-19  ,-24  ,-16  ,-49  ,-28  ,-26  ,-24  ,-14  ,-31  ,-22  ,-30  ,1892 
 1893 ,-67  ,-50  ,-24  ,-32  ,-34  ,-23  ,-13  ,-23  ,-18  ,-16  ,-17  ,-37  ,-29  ,-29  ,-49  ,-30  ,-20  ,-17  ,1893 
 1894 ,-55  ,-31  ,-21  ,-41  ,-29  ,-43  ,-32  ,-28  ,-22  ,-16  ,-25  ,-22  ,-30  ,-32  ,-41  ,-31  ,-34  ,-21  ,1894 
 1895 ,-44  ,-42  ,-29  ,-22  ,-23  ,-24  ,-16  ,-15  ,-1   ,-10  ,-16  ,-12  ,-21  ,-22  ,-36  ,-25  ,-19  ,-9   ,1895 
 1896 ,-22  ,-15  ,-29  ,-32  ,-19  ,-13  ,-5   ,-9   ,-4   ,5    ,-15  ,-11  ,-14  ,-14  ,-16  ,-27  ,-9   ,-5   ,1896 
 1897 ,-22  ,-19  ,-11  ,0    ,1    ,-11  ,-4   ,-2   ,-3   ,-8   ,-17  ,-24  ,-10  ,-9   ,-17  ,-4   ,-6   ,-9   ,1897 
 1898 ,-6   ,-32  ,-54  ,-32  ,-34  ,-19  ,-21  ,-22  ,-18  ,-31  ,-34  ,-21  ,-27  ,-27  ,-21  ,-40  ,-21  ,-28  ,1898 
 1899 ,-17  ,-39  ,-34  ,-20  ,-19  ,-25  ,-12  ,-3   ,1    ,2    ,13   ,-25  ,-15  ,-14  ,-26  ,-24  ,-13  ,5    ,1899 
 1900 ,-39  ,-7   ,2    ,-14  ,-5   ,-14  ,-7   ,-3   ,3    ,9    ,-12  ,-13  ,-8   ,-9   ,-24  ,-6   ,-8   ,0    ,1900 
 1901 ,-29  ,-4   ,5    ,-5   ,-17  ,-10  ,-8   ,-12  ,-16  ,-28  ,-16  ,-29  ,-14  ,-13  ,-15  ,-5   ,-10  ,-20  ,1901 
 1902 ,-19  ,-2   ,-28  ,-27  ,-29  ,-33  ,-25  ,-27  ,-20  ,-26  ,-35  ,-45  ,-26  ,-25  ,-17  ,-28  ,-28  ,-27  ,1902 
 1903 ,-27  ,-5   ,-22  ,-39  ,-40  ,-43  ,-29  ,-43  ,-42  ,-41  ,-38  ,-47  ,-35  ,-35  ,-26  ,-34  ,-38  ,-40  ,1903 
 1904 ,-64  ,-54  ,-45  ,-50  ,-49  ,-48  ,-47  ,-43  ,-46  ,-34  ,-16  ,-28  ,-44  ,-45  ,-55  ,-48  ,-46  ,-32  ,1904 
 1905 ,-37  ,-58  ,-24  ,-35  ,-32  ,-30  ,-23  ,-20  ,-13  ,-22  ,-7   ,-20  ,-27  ,-27  ,-41  ,-30  ,-24  ,-14  ,1905 
 1906 ,-29  ,-33  ,-14  ,-1   ,-19  ,-20  ,-25  ,-18  ,-24  ,-19  ,-38  ,-17  ,-21  ,-22  ,-27  ,-11  ,-21  ,-27  ,1906 
 1907 ,-43  ,-51  ,-24  ,-39  ,-45  ,-42  ,-34  ,-36  ,-31  ,-24  ,-51  ,-49  ,-39  ,-36  ,-37  ,-36  ,-37  ,-35  ,1907 
 1908 ,-45  ,-35  ,-57  ,-45  ,-39  ,-37  ,-34  ,-44  ,-32  ,-42  ,-50  ,-49  ,-42  ,-42  ,-43  ,-47  ,-38  ,-41  ,1908 
 1909 ,-70  ,-47  ,-51  ,-58  ,-53  ,-51  ,-42  ,-29  ,-37  ,-38  ,-32  ,-54  ,-47  ,-46  ,-55  ,-54  ,-41  ,-35  ,1909 
 1910 ,-44  ,-43  ,-47  ,-38  ,-33  ,-35  ,-30  ,-33  ,-36  ,-38  ,-56  ,-69  ,-42  ,-41  ,-47  ,-40  ,-33  ,-43  ,1910 
