 Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON,Year
 1880 ,-54  ,-44  ,-31  ,-47  ,-12  ,-27  ,-29  ,-29  ,-34  ,-27  ,-39  ,-41  ,-34  ,***  ,**** ,-30  ,-28  ,-33  ,1880 
 1881 ,-6   ,-24  ,-2   ,-8   ,-13  ,-43  ,-5   ,-4   ,-21  ,-35  ,-42  ,-30  ,-19  ,-20  ,-24  ,-7   ,-17  ,-33  ,1881 
 1882 ,18   ,19   ,-4   ,-40  ,-32  ,-31  ,-17  ,1    ,-3   ,-48  ,-35  ,-36  ,-17  ,-17  ,2    ,-25  ,-16  ,-29  ,1882 
 1883 ,-56  ,-66  ,-17  ,-30  ,-29  ,-23  ,-14  ,-26  ,-30  ,-12  ,-33  ,-25  ,-30  ,-31  ,-53  ,-25  ,-21  ,-25  ,1883 
 1884 ,-21  ,-14  ,-64  ,-59  ,-40  ,-48  ,-44  ,-49  ,-44  ,-35  ,-43  ,-36  ,-41  ,-40  ,-20  ,-55  ,-47  ,-40  ,1884 
 1885 ,-107 ,-34  ,-17  ,-54  ,-54  ,-54  ,-32  ,-42  ,-29  ,-26  ,-25  ,4    ,-39  ,-42  ,-59  ,-42  ,-42  ,-27  ,1885 
 1886 ,-63  ,-64  ,-55  ,-35  ,-34  ,-41  ,-14  ,-45  ,-29  ,-24  ,-33  ,-12  ,-37  ,-36  ,-41  ,-41  ,-33  ,-29  ,1886 
 1887 ,-99  ,-53  ,-32  ,-40  ,-31  ,-13  ,-11  ,-42  ,-12  ,-37  ,-19  ,-43  ,-36  ,-33  ,-55  ,-34  ,-22  ,-23  ,1887 
 1888 ,-57  ,-57  ,-62  ,-29  ,-14  ,-4   ,6    ,-9   ,-8   ,5    ,-3   ,-33  ,-22  ,-23  ,-52  ,-35  ,-3   ,-2   ,1888 
 1889 ,-39  ,28   ,3    ,11   ,-7   ,-13  ,1    ,-12  ,-20  ,-33  ,-54  ,-52  ,-16  ,-14  ,-14  ,2    ,-8   ,-36  ,1889 
 1890 ,-66  ,-57  ,-42  ,-33  ,-47  ,-16  ,-28  ,-40  ,-41  ,-11  ,-50  ,-39  ,-39  ,-40  ,-58  ,-41  ,-28  ,-34  ,1890 
 1891 ,-61  ,-69  ,-8   ,-27  ,-16  ,-11  ,-14  ,-11  ,3    ,-23  ,-54  ,8    ,-24  ,-27  ,-56  ,-17  ,-12  ,-25  ,1891 
 1892 ,-34  ,-16  ,-53  ,-41  ,-23  ,-1   ,-14  ,-6   ,-32  ,-22  ,-86  ,-48  ,-31  ,-27  ,-14  ,-39  ,-7   ,-47  ,1892 
 1893 ,-130 ,-84  ,-28  ,-30  ,-36  ,-17  ,-11  ,-24  ,-16  ,-20  ,-21  ,-63  ,-40  ,-39  ,-87  ,-31  ,-17  ,-19  ,1893 
 1894 ,-86  ,-41  ,-20  ,-51  ,-24  ,-46  ,-31  ,-27  ,-26  ,-22  ,-47  ,-32  ,-38  ,-40  ,-64  ,-32  ,-35  ,-31  ,1894 
 1895 ,-71  ,-73  ,-36  ,-20  ,-26  ,-25  ,-17  ,-28  ,4    ,-11  ,-9   ,-18  ,-27  ,-29  ,-59  ,-27  ,-23  ,-5   ,1895 
 1896 ,-42  ,-23  ,-51  ,-61  ,-18  ,7    ,-1   ,-9   ,-5   ,4    ,-27  ,-21  ,-20  ,-20  ,-28  ,-43  ,-1   ,-9   ,1896 
