 Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON,Year
 1880 ,-5   ,3    ,-6   ,-8   ,-16  ,-30  ,-18  ,14   ,1    ,-5   ,2    ,-1   ,-6   ,***  ,**** ,-10  ,-11  ,-1   ,1880 
 1881 ,-12  ,-3   ,5    ,2    ,5    ,-13  ,-7   ,0    ,5    ,-3   ,-10  ,0    ,-3   ,-3   ,-5   ,4    ,-7   ,-3   ,1881 
 1882 ,2    ,-1   ,8    ,2    ,-1   ,-17  ,-2   ,7    ,3    ,5    ,-5   ,-12  ,-1   ,0    ,0    ,3    ,-4   ,1    ,1882 
 1883 ,-9   ,-17  ,-17  ,-17  ,-19  ,2    ,-1   ,2    ,-5   ,-9   ,-6   ,-10  ,-9   ,-9   ,-13  ,-18  ,1    ,-6   ,1883 
 1884 ,-14  ,-8   ,-2   ,-12  ,-22  ,-26  ,-23  ,-1   ,-1   ,-8   ,-15  ,-20  ,-13  ,-12  ,-11  ,-12  ,-17  ,-8   ,1884 
 1885 ,-20  ,-23  ,-28  ,-32  ,-26  ,-44  ,-23  ,-11  ,-6   ,-9   ,-17  ,-13  ,-21  ,-22  ,-21  ,-29  ,-26  ,-11  ,1885 
 1886 ,-19  ,-24  ,-26  ,-22  ,-18  ,-34  ,-17  ,-16  ,-7   ,-24  ,-17  ,-37  ,-22  ,-20  ,-19  ,-22  ,-22  ,-16  ,1886 
 1887 ,-31  ,-42  ,-29  ,-32  ,-33  ,-25  ,-25  ,-11  ,-25  ,-25  ,-32  ,-31  ,-28  ,-29  ,-37  ,-32  ,-20  ,-27  ,1887 
 1888 ,-27  ,-26  ,-31  ,-26  ,-30  ,-36  ,-23  ,-12  ,-6   ,-2   ,3    ,9    ,-17  ,-20  ,-28  ,-29  ,-23  ,-1   ,1888 
 1889 ,1    ,1    ,7    ,-2   ,3    ,-9   ,-10  ,-22  ,-15  ,-10  ,-6   ,-8   ,-6   ,-4   ,4    ,3    ,-14  ,-10  ,1889 
 1890 ,-29  ,-36  ,-40  ,-41  ,-47  ,-38  ,-29  ,-31  ,-30  ,-32  ,-22  ,-20  ,-33  ,-32  ,-24  ,-42  ,-32  ,-28  ,1890 
 1891 ,-29  ,-27  ,-20  ,-23  ,-17  ,-31  ,-29  ,-30  ,-29  ,-23  ,-20  ,-11  ,-24  ,-25  ,-25  ,-20  ,-30  ,-24  ,1891 
 1892 ,-16  ,-12  ,-19  ,-28  ,-25  ,-37  ,-39  ,-32  ,-17  ,-9   ,-12  ,-9   ,-21  ,-22  ,-13  ,-24  ,-36  ,-13  ,1892 
 1893 ,-5   ,-17  ,-19  ,-35  ,-33  ,-28  ,-15  ,-22  ,-19  ,-12  ,-12  ,-11  ,-19  ,-19  ,-10  ,-29  ,-22  ,-14  ,1893 
 1894 ,-23  ,-22  ,-23  ,-32  ,-35  ,-40  ,-32  ,-28  ,-18  ,-11  ,-2   ,-12  ,-23  ,-23  ,-19  ,-30  ,-33  ,-10  ,1894 
 1895 ,-16  ,-11  ,-22  ,-24  ,-20  ,-23  ,-16  ,-3   ,-6   ,-9   ,-22  ,-6   ,-15  ,-15  ,-13  ,-22  ,-14  ,-13  ,1895 
 1896 ,-3   ,-6   ,-8   ,-3   ,-20  ,-33  ,-10  ,-8   ,-2   ,5    ,-4   ,-2   ,-8   ,-8   ,-5   ,-11  ,-17  ,0    ,1896 
 1897 ,-11  ,-5   ,6    ,-3   ,-17  ,-21  ,-11  ,-10  ,-5   ,-6   ,-10  ,-17  ,-9   ,-8   ,-6   ,-5   ,-14  ,-7   ,1897 
 1898 ,-14  ,-20  ,-39  ,-39  ,-35  ,-30  ,-33  ,-29  ,-24  ,-32  ,-29  ,-20  ,-29  ,-28  ,-17  ,-38  ,-30  ,-29  ,1898 
 1899 ,-25  ,-21  ,-20  ,-21  ,-18  ,-18  ,-8   ,-7   ,-2   ,-14  ,-13  ,-9   ,-15  ,-16  ,-22  ,-20  ,-11  ,-10  ,1899 
 1900 ,-22  ,-12  ,-16  ,-15  ,-17  ,-19  ,-14  ,-9   ,1    ,-6   ,-10  ,-23  ,-13  ,-12  ,-14  ,-16  ,-14  ,-5   ,1900 
 1901 ,-21  ,-17  ,-19  ,-20  ,-23  ,-23  ,-22  ,-19  ,-14  ,-30  ,-17  ,-22  ,-21  ,-21  ,-20  ,-21  ,-21  ,-21  ,1901 
 1902 ,-22  ,-22  ,-24  ,-18  ,-21  ,-26  ,-24  ,-34  ,-19  ,-26  ,-24  ,-27  ,-24  ,-23  ,-22  ,-21  ,-28  ,-23  ,1902 
 1903 ,-34  ,-32  ,-31  ,-33  ,-31  ,-34  ,-26  ,-36  ,-43  ,-41  ,-41  ,-43  ,-36  ,-34  ,-31  ,-32  ,-32  ,-42  ,1903 
 1904 ,-52  ,-54  ,-51  ,-43  ,-52  ,-46  ,-40  ,-43  ,-38  ,-36  ,-25  ,-33  ,-43  ,-44  ,-50  ,-49  ,-43  ,-33  ,1904 
 1905 ,-31  ,-43  ,-29  ,-29  ,-36  ,-32  ,-30  ,-17  ,-18  ,-23  ,-23  ,-13  ,-27  ,-29  ,-36  ,-31  ,-27  ,-22  ,1905 
