 Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,   44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S,Year
 1880 ,-20  ,-34  ,-6   ,-41  ,-15  ,-6   ,-104 ,-60  ,-21  ,-24  ,-6   ,-2   ,-8   ,35   ,1880 
 1881 ,-11  ,-19  ,-3   ,-29  ,-1   ,-6   ,-64  ,-45  ,-14  ,-4   ,2    ,-6   ,-2   ,33   ,1881 
 1882 ,-9   ,-17  ,-1   ,-22  ,-9   ,4    ,-133 ,-23  ,-1   ,-10  ,-8   ,4    ,8    ,38   ,1882 
 1883 ,-19  ,-30  ,-9   ,-34  ,-21  ,-2   ,-31  ,-60  ,-18  ,-23  ,-19  ,-1   ,0    ,33   ,1883 
 1884 ,-27  ,-41  ,-13  ,-56  ,-17  ,-12  ,-128 ,-60  ,-40  ,-20  ,-14  ,-14  ,-5   ,37   ,1884 
 1885 ,-30  ,-39  ,-21  ,-58  ,-16  ,-20  ,-112 ,-68  ,-41  ,-10  ,-23  ,-26  ,-7   ,34   ,1885 
 1886 ,-29  ,-37  ,-22  ,-47  ,-23  ,-20  ,-117 ,-44  ,-35  ,-23  ,-24  ,-17  ,-21  ,24   ,1886 
 1887 ,-32  ,-36  ,-28  ,-45  ,-27  ,-27  ,-150 ,-55  ,-18  ,-23  ,-31  ,-23  ,-29  ,17   ,1887 
 1888 ,-20  ,-22  ,-17  ,-41  ,7    ,-33  ,-139 ,-45  ,-20  ,7    ,7    ,-29  ,-38  ,12   ,1888 
 1889 ,-11  ,-16  ,-6   ,-25  ,5    ,-17  ,-84  ,-17  ,-19  ,-1   ,11   ,-15  ,-17  ,15   ,1889 
 1890 ,-36  ,-39  ,-33  ,-44  ,-38  ,-26  ,-129 ,-43  ,-27  ,-33  ,-43  ,-15  ,-40  ,0    ,1890 
 1891 ,-24  ,-24  ,-24  ,-35  ,-15  ,-24  ,-129 ,-22  ,-25  ,-6   ,-25  ,-20  ,-28  ,5    ,1891 
 1892 ,-26  ,-31  ,-21  ,-31  ,-31  ,-16  ,-133 ,-33  ,-10  ,-32  ,-29  ,-3   ,-34  ,1    ,1892 
 1893 ,-29  ,-40  ,-19  ,-38  ,-40  ,-7   ,-89  ,-37  ,-28  ,-43  ,-37  ,4    ,-22  ,-2   ,1893 
 1894 ,-30  ,-38  ,-23  ,-27  ,-39  ,-22  ,-135 ,-18  ,-7   ,-53  ,-24  ,-14  ,-32  ,-15  ,1894 
 1895 ,-21  ,-27  ,-15  ,-33  ,-14  ,-19  ,-93  ,-37  ,-16  ,-19  ,-9   ,-20  ,-13  ,-5   ,1895 
 1896 ,-14  ,-20  ,-8   ,-34  ,3    ,-18  ,-128 ,-35  ,-9   ,-1   ,8    ,-15  ,-22  ,0    ,1896 
 1897 ,-10  ,-11  ,-9   ,-29  ,17   ,-28  ,-75  ,-30  ,-16  ,15   ,19   ,-20  ,-37  ,1    ,1897 
 1898 ,-27  ,-25  ,-29  ,-26  ,-26  ,-29  ,-121 ,-1   ,-18  ,-24  ,-28  ,-26  ,-30  ,4    ,1898 
 1899 ,-15  ,-15  ,-15  ,-16  ,-12  ,-18  ,-99  ,6    ,-9   ,-13  ,-10  ,-13  ,-23  ,9    ,1899 
 1900 ,-8   ,-3   ,-13  ,-11  ,14   ,-35  ,-57  ,-3   ,-5   ,9    ,19   ,-31  ,-38  ,8    ,1900 
 1901 ,-14  ,-8   ,-21  ,-10  ,-5   ,-29  ,-51  ,0    ,-6   ,-4   ,-7   ,-30  ,-26  ,-3   ,1901 
 1902 ,-26  ,-29  ,-24  ,-47  ,-5   ,-34  ,-153 ,-40  ,-24  ,-2   ,-9   ,-27  ,-42  ,2    ,1902 
 1903 ,-35  ,-34  ,-36  ,-39  ,-32  ,-34  ,-44  ,-29  ,-44  ,-26  ,-37  ,-37  ,-25  ,-57  ,1903 
 1904 ,-44  ,-44  ,-43  ,-45  ,-46  ,-39  ,-30  ,-52  ,-45  ,-43  ,-48  ,-36  ,-39  ,-124 ,1904 
 1905 ,-27  ,-26  ,-27  ,-37  ,-11  ,-38  ,-20  ,-15  ,-54  ,-11  ,-12  ,-37  ,-34  ,-36  ,1905 
 1906 ,-21  ,-19  ,-24  ,-20  ,-20  ,-25  ,-35  ,3    ,-31  ,-18  ,-22  ,-23  ,-22  ,-64  ,1906 
 1907 ,-39  ,-46  ,-32  ,-56  ,-33  ,-29  ,-78  ,-69  ,-43  ,-30  ,-37  ,-25  ,-31  ,-117 ,1907 
 1908 ,-42  ,-45  ,-40  ,-46  ,-46  ,-34  ,-49  ,-50  ,-43  ,-43  ,-50  ,-31  ,-38  ,67   ,1908 
 1909 ,-47  ,-47  ,-46  ,-47  ,-51  ,-41  ,-81  ,-49  ,-37  ,-48  ,-55  ,-38  ,-41  ,-47  ,1909 
 1910 ,-42  ,-42  ,-42  ,-36  ,-53  ,-33  ,-74  ,-14  ,-41  ,-51  ,-55  ,-32  ,-32  ,28   ,1910 
 1911 ,-44  ,-40  ,-48  ,-38  ,-45  ,-48  ,-38  ,-36  ,-39  ,-43  ,-48  ,-43  ,-54  ,16   ,1911 
 1912 ,-34  ,-46  ,-23  ,-58  ,-19  ,-31  ,-72  ,-70  ,-45  ,-28  ,-11  ,-37  ,-13  ,-153 ,1912 
 1913 ,-33  ,-41  ,-26  ,-40  ,-29  ,-32  ,-61  ,-27  ,-43  ,-42  ,-17  ,-29  ,-31  ,-91  ,1913 
 1914 ,-15  ,-17  ,-13  ,-22  ,-6   ,-20  ,-61  ,-7   ,-22  ,-9   ,-3   ,-17  ,-23  ,-32  ,1914 
 1915 ,-11  ,-9   ,-12  ,-17  ,1    ,-19  ,-62  ,-7   ,-11  ,3    ,-2   ,-10  ,-23  ,-198 ,1915 
 1916 ,-34  ,-36  ,-31  ,-29  ,-45  ,-23  ,-39  ,-44  ,-18  ,-45  ,-44  ,-23  ,-17  ,-120 ,1916 
 1917 ,-40  ,-53  ,-27  ,-42  ,-60  ,-10  ,-81  ,-39  ,-34  ,-69  ,-52  ,-18  ,4    ,21   ,1917 
 1918 ,-25  ,-33  ,-18  ,-34  ,-27  ,-15  ,-123 ,-14  ,-22  ,-31  ,-23  ,-9   ,-23  ,-12  ,1918 
 1919 ,-22  ,-34  ,-11  ,-42  ,-14  ,-15  ,-100 ,-46  ,-24  ,-21  ,-6   ,-9   ,-22  ,29   ,1919 
 1920 ,-26  ,-27  ,-26  ,-19  ,-27  ,-32  ,-4   ,-9   ,-29  ,-38  ,-16  ,-22  ,-44  ,-85  ,1920 
 1921 ,-21  ,-9   ,-33  ,4    ,-27  ,-37  ,-15  ,23   ,-3   ,-28  ,-27  ,-26  ,-50  ,-68  ,1921 
 1922 ,-27  ,-26  ,-28  ,-20  ,-32  ,-27  ,-39  ,-33  ,-7   ,-34  ,-31  ,-24  ,-27  ,-21  ,1922 
 1923 ,-24  ,-18  ,-29  ,-9   ,-30  ,-29  ,13   ,-4   ,-20  ,-32  ,-28  ,-28  ,-28  ,-49  ,1923 
 1924 ,-28  ,-15  ,-40  ,-9   ,-25  ,-49  ,23   ,-16  ,-14  ,-25  ,-26  ,-40  ,-61  ,-65  ,1924 
 1925 ,-20  ,-8   ,-31  ,0    ,-21  ,-37  ,-20  ,26   ,-10  ,-21  ,-22  ,-24  ,-55  ,-75  ,1925 
 1926 ,-9   ,3    ,-22  ,4    ,3    ,-39  ,37   ,24   ,-17  ,2    ,4    ,-33  ,-46  ,-55  ,1926 
 1927 ,-20  ,-11  ,-30  ,-11  ,-14  ,-38  ,-19  ,-13  ,-8   ,-11  ,-17  ,-32  ,-41  ,-145 ,1927 
 1928 ,-21  ,-8   ,-34  ,-5   ,-14  ,-47  ,45   ,-8   ,-17  ,-13  ,-15  ,-32  ,-63  ,-221 ,1928 
 1929 ,-36  ,-31  ,-41  ,-35  ,-27  ,-49  ,-10  ,-51  ,-32  ,-25  ,-29  ,-41  ,-57  ,-113 ,1929 
 1930 ,-14  ,2    ,-29  ,8    ,-11  ,-40  ,38   ,16   ,-5   ,-8   ,-14  ,-31  ,-42  ,-253 ,1930 
 1931 ,-9   ,5    ,-23  ,4    ,4    ,-39  ,39   ,8    ,-9   ,8    ,1    ,-42  ,-31  ,-42  ,1931 
 1932 ,-16  ,-3   ,-30  ,5    ,-16  ,-38  ,15   ,30   ,-14  ,-15  ,-16  ,-25  ,-57  ,-97  ,1932 
 1933 ,-28  ,-25  ,-31  ,-23  ,-28  ,-33  ,-41  ,-39  ,-8   ,-29  ,-28  ,-22  ,-46  ,-110 ,1933 
 1934 ,-14  ,0    ,-27  ,18   ,-26  ,-29  ,59   ,39   ,-7   ,-28  ,-25  ,-22  ,-34  ,-46  ,1934 
 1935 ,-19  ,-9   ,-29  ,-3   ,-21  ,-33  ,8    ,6    ,-11  ,-19  ,-23  ,-29  ,-34  ,-155 ,1935 
 1936 ,-15  ,-4   ,-26  ,-3   ,-14  ,-28  ,12   ,17   ,-20  ,-6   ,-22  ,-27  ,-28  ,10   ,1936 
 1937 ,-2   ,13   ,-16  ,20   ,-5   ,-19  ,100  ,7    ,2    ,2    ,-13  ,-21  ,-14  ,58   ,1937 
