quantity,value,uncertainty,unit
lattice_spacing_of_silicon,192.0155714e-12,3.2e-18,m
alpha_particle_electron_mass_ratio,7294.29954136,2.4e-07, 
alpha_particle_mass,6.644657230e-27,8.2e-35,kg
alpha_particle_mass_energy_equivalent,5.971920097e-10,7.3e-18,J
alpha_particle_mass_energy_equivalent_in_MeV,3727.379378,2.3e-05,MeV
alpha_particle_mass_in_u,4.001506179127,6.3e-11,u
alpha_particle_molar_mass,4.001506179127e-3,6.3e-14,kg mol^-1
alpha_particle_proton_mass_ratio,3.97259968907,3.6000000000000005e-10, 
Angstrom_star,1.00001495e-10,9.000000000000001e-17,m
atomic_mass_constant,1.660539040e-27,2e-35,kg
atomic_mass_constant_energy_equivalent,1.492418062e-10,1.8e-18,J
atomic_mass_constant_energy_equivalent_in_MeV,931.4940954,5.7000000000000005e-06,MeV
atomic_mass_unit_electron_volt_relationship,931.4940954e6,5.7,eV
atomic_mass_unit_hartree_relationship,3.4231776902e7,0.016,E_h
atomic_mass_unit_hertz_relationship,2.2523427206e23,100000000000000.0,Hz
atomic_mass_unit_inverse_meter_relationship,7.5130066166e14,340000.0,m^-1
atomic_mass_unit_joule_relationship,1.492418062e-10,1.8e-18,J
atomic_mass_unit_kelvin_relationship,1.08095438e13,6200000.0,K
atomic_mass_unit_kilogram_relationship,1.660539040e-27,2e-35,kg
atomic_unit_of_1st_hyperpolarizability,3.206361329e-53,2e-61,C^3 m^3 J^-2
atomic_unit_of_2nd_hyperpolarizability,6.235380085e-65,7.699999999999998e-73,C^4 m^4 J^-3
atomic_unit_of_action,1.054571800e-34,1.3000000000000002e-42,J s
atomic_unit_of_charge,1.6021766208e-19,9.799999999999999e-28,C
atomic_unit_of_charge_density,1.0812023770e12,6700.0,C m^-3
atomic_unit_of_current,6.623618183e-3,4.1e-11,A
atomic_unit_of_electric_dipole_mom,8.478353552e-30,5.2e-38,C m
atomic_unit_of_electric_field,5.142206707e11,3200.0,V m^-1
atomic_unit_of_electric_field_gradient,9.717362356e21,60000000000000.0,V m^-2
atomic_unit_of_electric_polarizability,1.6487772731e-41,1.1e-50,C^2 m^2 J^-1
atomic_unit_of_electric_potential,27.21138602,1.7e-07,V
atomic_unit_of_electric_quadrupole_mom,4.486551484e-40,2.7999999999999994e-48,C m^2
atomic_unit_of_energy,4.359744650e-18,5.400000000000001e-26,J
atomic_unit_of_force,8.23872336e-8,1e-15,N
atomic_unit_of_length,0.52917721067e-10,1.2e-20,m
atomic_unit_of_mag_dipole_mom,1.854801999e-23,1.1e-31,J T^-1
atomic_unit_of_mag_flux_density,2.350517550e5,0.0014,T
atomic_unit_of_magnetizability,7.8910365886e-29,9e-38,J T^-2
atomic_unit_of_mass,9.10938356e-31,1.1e-38,kg
atomic_unit_of_mom.um,1.992851882e-24,2.3999999999999999e-32,kg m s^-1
atomic_unit_of_permittivity,1.112650056e-10,0.0,F m^-1
atomic_unit_of_time,2.418884326509e-17,1.4e-28,s
atomic_unit_of_velocity,2.18769126277e6,0.0005,m s^-1
Avogadro_constant,6.022140857e23,7400000000000000.0,mol^-1
Bohr_magneton,927.4009994e-26,5.7e-32,J T^-1
Bohr_magneton_in_eV/T,5.7883818012e-5,2.6e-14,eV T^-1
Bohr_magneton_in_Hz/T,13.996245042e9,86.0,Hz T^-1
Bohr_magneton_in_inverse_meters_per_tesla,46.68644814,2.9e-07,m^-1 T^-1
Bohr_magneton_in_K/T,0.67171405,3.9e-07,K T^-1
Bohr_radius,0.52917721067e-10,1.2e-20,m
Boltzmann_constant,1.38064852e-23,7.9e-30,J K^-1
Boltzmann_constant_in_eV/K,8.6173303e-5,5e-11,eV K^-1
Boltzmann_constant_in_Hz/K,2.0836612e10,12000.0,Hz K^-1
Boltzmann_constant_in_inverse_meters_per_kelvin,69.503457,4e-05,m^-1 K^-1
characteristic_impedance_of_vacuum,376.730313461,0.0,ohm
classical_electron_radius,2.8179403227e-15,1.8999999999999998e-24,m
Compton_wavelength,2.4263102367e-12,1.1e-21,m
Compton_wavelength_over_2_pi,386.15926764e-15,1.8000000000000001e-22,m
conductance_quantum,7.7480917310e-5,1.8000000000000002e-14,S
conventional_value_of_Josephson_constant,483597.9e9,0.0,Hz V^-1
conventional_value_of_von_Klitzing_constant,25812.807,0.0,ohm
Cu_x_unit,1.00207697e-13,2.7999999999999997e-20,m
deuteron_electron_mag_mom_ratio,-4.664345535e-4,2.6000000000000002e-12, 
deuteron_electron_mass_ratio,3670.48296785,1.3e-07, 
deuteron_g_factor,0.8574382311,4.8e-09, 
deuteron_mag_mom,0.4330735040e-26,3.5999999999999997e-35,J T^-1
deuteron_mag_mom_to_Bohr_magneton_ratio,0.4669754554e-3,2.6000000000000002e-12, 
deuteron_mag_mom_to_nuclear_magneton_ratio,0.8574382311,4.8e-09, 
deuteron_mass,3.343583719e-27,4.1e-35,kg
deuteron_mass_energy_equivalent,3.005063183e-10,3.7e-18,J
deuteron_mass_energy_equivalent_in_MeV,1875.612928,1.2e-05,MeV
deuteron_mass_in_u,2.013553212745,4.0000000000000004e-11,u
deuteron_molar_mass,2.013553212745e-3,4e-14,kg mol^-1
deuteron_neutron_mag_mom_ratio,-0.44820652,1.1e-07, 
deuteron_proton_mag_mom_ratio,0.3070122077,1.5e-09, 
deuteron_proton_mass_ratio,1.99900750087,1.9e-10, 
deuteron_rms_charge_radius,2.1413e-15,2.5e-18,m
electric_constant,8.854187817e-12,0.0,F m^-1
electron_charge_to_mass_quotient,-1.758820024e11,1100.0,C kg^-1
electron_deuteron_mag_mom_ratio,-2143.923499,1.2e-05, 
electron_deuteron_mass_ratio,2.724437107484e-4,9.6e-15, 
electron_g_factor,-2.00231930436182,5.2e-13, 
electron_gyromag_ratio,1.760859644e11,1100.0,s^-1 T^-1
electron_gyromag_ratio_over_2_pi,28024.95164,0.00016999999999999999,MHz T^-1
electron_helion_mass_ratio,1.819543074854e-4,8.8e-15, 
electron_mag_mom,-928.4764620e-26,5.7e-32,J T^-1
electron_mag_mom_anomaly,1.15965218091e-3,2.6e-13, 
electron_mag_mom_to_Bohr_magneton_ratio,-1.00115965218091,2.6e-13, 
electron_mag_mom_to_nuclear_magneton_ratio,-1838.28197234,1.7e-07, 
electron_mass,9.10938356e-31,1.1e-38,kg
electron_mass_energy_equivalent,8.18710565e-14,1.0000000000000001e-21,J
electron_mass_energy_equivalent_in_MeV,0.5109989461,3.1e-09,MeV
electron_mass_in_u,5.48579909070e-4,1.5999999999999998e-14,u
electron_molar_mass,5.48579909070e-7,1.6e-17,kg mol^-1
electron_muon_mag_mom_ratio,206.7669880,4.6e-06, 
